[run number],release-adult-hybrids,stop-criterion-type,release-end,release-age,sex-ratio,Corral-capacity,[step],pop-size-wild,adult-pop-size-wild,cost,final-mean-qval,final-sd-qval,final-aar,final-sar,final-ho,final-sex-ratio,ticks
1,TRUE,"""time""",20,3,0.5,20,50,592,306,786140,0.191491047,0.032501082,133,4.489524058,0.713159588,0.494932432,50
2,TRUE,"""time""",20,3,0.5,20,50,573,307,805300,0.197319895,0.034129826,131,4.443922928,0.716695753,0.518324607,50
3,TRUE,"""time""",20,3,0.5,20,50,702,335,808075,0.191318519,0.036204443,134,4.487790146,0.700922534,0.538461538,50
4,TRUE,"""time""",20,3,0.5,20,50,603,304,793560,0.199589552,0.036460243,136,4.480154524,0.704177525,0.512437811,50
5,TRUE,"""time""",20,3,0.5,20,50,621,287,777970,0.190449919,0.033898671,134,4.46007315,0.722260563,0.544283414,50
6,TRUE,"""time""",20,3,0.5,28,50,756,379,1007745,0.198781746,0.035492921,137,4.508908827,0.705719325,0.548941799,50
7,TRUE,"""time""",20,3,0.5,28,50,763,394,1029215,0.197878506,0.034694658,138,4.503831459,0.711789303,0.50982962,50
8,TRUE,"""time""",20,3,0.5,28,50,839,411,1096295,0.197692491,0.034223133,135,4.510239038,0.712866792,0.530393325,50
9,TRUE,"""time""",20,3,0.5,28,50,775,402,1034480,0.194376774,0.033334011,130,4.493983604,0.716313364,0.523870968,50
10,TRUE,"""time""",20,3,0.5,28,50,804,414,1061505,0.193564303,0.032725372,131,4.502411436,0.715292585,0.518656716,50
11,TRUE,"""time""",20,3,0.67,20,50,739,328,817540,0.18942544,0.036587718,128,4.468571618,0.70829306,0.571041949,50
12,TRUE,"""time""",20,3,0.67,20,50,856,370,786305,0.194543808,0.0373199,134,4.459018553,0.69475968,0.599299065,50
13,TRUE,"""time""",20,3,0.67,20,50,723,329,782135,0.188062932,0.031856401,134,4.479056931,0.708555621,0.571230982,50
14,TRUE,"""time""",20,3,0.67,20,50,655,300,783320,0.191892214,0.035451679,135,4.494048814,0.706288622,0.549618321,50
15,TRUE,"""time""",20,3,0.67,20,50,706,330,782180,0.184357082,0.032462435,135,4.494339601,0.709159585,0.573654391,50
